store_id,product_id,category,week_start,opening_stock,units_received,spoilage_units,units_sold,closing_stock,stockout_flag,lost_sales_units,reorder_point,safety_stock,supplier_id
S001,P025,Personal Care,2025-02-17,647,0.0,1,64,582,0,0,167,21,SUP009
S001,P008,Packaged Foods,2025-10-13,636,0.0,1,64,571,0,0,179,22,SUP004
S014,P014,Beverages,2025-09-15,141,0.0,1,28,112,0,0,71,12,SUP006
S010,P012,Packaged Foods,2025-02-10,230,105.0,0,18,212,0,0,54,7,SUP004
S003,P021,Household Essentials,2025-09-22,112,0.0,0,36,76,0,0,94,24,SUP007
S001,P022,Household Essentials,2025-07-14,638,376.0,0,94,544,0,0,227,38,SUP008
S011,P010,Packaged Foods,2025-02-03,227,127.0,1,25,201,0,0,83,10,SUP004
S009,P014,Beverages,2025-08-25,216,0.0,1,42,173,0,0,122,20,SUP006
S008,P007,Packaged Foods,2025-01-27,12,0.0,0,12,0,1,4,23,6,SUP003
S015,P030,Personal Care,2025-12-29,160,0.0,0,43,117,0,0,83,14,SUP010
S010,P030,Personal Care,2025-06-09,262,85.0,0,29,233,0,0,82,14,SUP010
S008,P018,Beverages,2025-02-17,122,0.0,0,28,94,0,0,79,13,SUP006
S005,P018,Beverages,2025-04-21,548,316.0,2,92,454,0,0,207,34,SUP006
S007,P016,Beverages,2025-07-28,475,0.0,1,46,428,0,0,122,20,SUP006
S010,P017,Beverages,2025-08-04,133,0.0,1,64,68,0,0,171,21,SUP005
S016,P024,Household Essentials,2025-12-01,70,0.0,0,16,54,0,0,41,7,SUP008
S016,P023,Household Essentials,2025-12-29,51,0.0,0,29,22,0,0,40,10,SUP007
S003,P010,Packaged Foods,2025-03-03,287,0.0,1,30,256,0,0,91,11,SUP004
S014,P014,Beverages,2025-09-29,84,0.0,0,41,43,0,0,71,12,SUP006
S003,P020,Household Essentials,2025-07-28,75,50.0,0,22,53,0,0,47,8,SUP008
S002,P011,Packaged Foods,2025-09-15,102,0.0,0,47,55,0,0,76,19,SUP003
S003,P017,Beverages,2025-08-25,293,0.0,1,55,237,0,0,181,23,SUP005
S012,P007,Packaged Foods,2025-12-15,41,0.0,0,12,29,0,0,21,5,SUP003
S012,P020,Household Essentials,2025-01-13,17,0.0,0,11,6,0,0,23,4,SUP008
S004,P018,Beverages,2025-01-06,82,0.0,0,28,54,0,0,70,12,SUP006
S011,P001,Perishables,2025-04-28,143,140.0,5,48,90,0,0,100,17,SUP001
S013,P002,Perishables,2025-01-13,91,0.0,4,38,49,0,0,112,14,SUP002
S005,P028,Personal Care,2025-12-01,170,0.0,0,71,99,0,0,196,33,SUP010
S010,P018,Beverages,2025-07-21,138,0.0,1,58,79,0,0,134,22,SUP006
S004,P015,Beverages,2025-06-23,180,0.0,1,21,158,0,0,65,8,SUP005
S008,P013,Beverages,2025-09-29,56,0.0,0,19,37,0,0,51,6,SUP005
S013,P016,Beverages,2025-09-15,554,290.0,2,87,465,0,0,207,34,SUP006
S001,P008,Packaged Foods,2025-09-15,265,220.0,1,49,215,0,0,179,22,SUP004
S006,P025,Personal Care,2025-03-03,491,0.0,1,37,453,0,0,109,14,SUP009
S015,P009,Packaged Foods,2025-03-10,13,0.0,0,13,0,1,17,41,10,SUP003
S001,P023,Household Essentials,2025-07-07,219,132.0,0,84,135,0,0,117,29,SUP007
S007,P021,Household Essentials,2025-04-07,151,112.0,0,51,100,0,0,81,20,SUP007
S011,P026,Personal Care,2025-07-07,354,197.0,1,62,291,0,0,136,23,SUP010
S003,P008,Packaged Foods,2025-10-06,60,0.0,0,52,8,0,0,115,14,SUP004
S013,P027,Personal Care,2025-09-22,775,0.0,4,73,698,0,0,212,26,SUP009
S013,P016,Beverages,2025-01-06,241,0.0,1,98,142,0,0,207,34,SUP006
S004,P023,Household Essentials,2025-05-12,69,56.0,0,26,43,0,0,37,9,SUP007
S006,P029,Personal Care,2025-11-24,90,0.0,0,24,66,0,0,62,8,SUP009
S012,P020,Household Essentials,2025-12-01,19,0.0,0,9,10,0,0,23,4,SUP008
S006,P029,Personal Care,2025-10-20,179,0.0,0,20,159,0,0,62,8,SUP009
S011,P003,Perishables,2025-02-24,79,0.0,3,40,36,0,0,81,14,SUP001
S014,P025,Personal Care,2025-01-20,46,0.0,0,29,17,0,0,101,13,SUP009
S004,P024,Household Essentials,2025-02-10,77,0.0,0,14,63,0,0,38,6,SUP008
S014,P022,Household Essentials,2025-06-30,310,0.0,0,63,247,0,0,137,23,SUP008
S014,P014,Beverages,2025-08-11,82,0.0,0,28,54,0,0,71,12,SUP006
S003,P004,Perishables,2025-05-26,567,0.0,28,62,477,0,0,180,23,SUP002
S013,P003,Perishables,2025-03-03,195,178.0,7,83,105,0,0,129,22,SUP001
S007,P021,Household Essentials,2025-12-29,96,0.0,0,45,51,0,0,81,20,SUP007
S004,P029,Personal Care,2025-04-14,39,0.0,0,11,28,0,0,30,4,SUP009
S012,P026,Personal Care,2025-11-17,346,148.0,1,32,313,0,0,74,12,SUP010
S011,P024,Household Essentials,2025-12-29,67,0.0,0,27,40,0,0,70,12,SUP008
S006,P010,Packaged Foods,2025-09-01,62,0.0,0,20,42,0,0,93,12,SUP004
S001,P025,Personal Care,2025-01-13,133,0.0,0,32,101,0,0,167,21,SUP009
S003,P025,Personal Care,2025-04-21,87,0.0,0,28,59,0,0,107,13,SUP009
S012,P009,Packaged Foods,2025-10-13,41,32.0,0,14,27,0,0,22,5,SUP003
S009,P010,Packaged Foods,2025-10-20,290,0.0,1,59,230,0,0,146,18,SUP004
S003,P015,Beverages,2025-05-12,357,228.0,1,48,308,0,0,132,16,SUP005
S009,P027,Personal Care,2025-05-05,618,350.0,3,89,526,0,0,236,29,SUP009
S010,P014,Beverages,2025-12-22,55,0.0,0,27,28,0,0,71,12,SUP006
S002,P015,Beverages,2025-03-10,663,0.0,3,41,619,0,0,135,17,SUP005
S002,P026,Personal Care,2025-07-07,243,214.0,0,62,181,0,0,152,25,SUP010
S010,P018,Beverages,2025-10-06,302,0.0,1,75,226,0,0,134,22,SUP006
S007,P005,Perishables,2025-09-22,317,188.0,19,51,247,0,0,107,18,SUP001
S007,P001,Perishables,2025-09-22,262,148.0,10,34,218,0,0,94,16,SUP001
S001,P007,Packaged Foods,2025-05-19,123,58.0,0,43,80,0,0,66,16,SUP003
S013,P011,Packaged Foods,2025-06-30,122,0.0,0,59,63,0,0,108,27,SUP003
S007,P008,Packaged Foods,2025-03-24,430,0.0,1,40,389,0,0,99,12,SUP004
S003,P019,Household Essentials,2025-03-17,121,0.0,0,51,70,0,0,61,15,SUP007
S015,P020,Household Essentials,2025-09-08,49,0.0,0,18,31,0,0,44,7,SUP008
S004,P002,Perishables,2025-01-13,28,0.0,1,13,14,0,0,38,5,SUP002
S013,P013,Beverages,2025-07-28,370,0.0,0,39,331,0,0,132,17,SUP005
S003,P009,Packaged Foods,2025-08-11,103,76.0,0,21,82,0,0,43,11,SUP003
S014,P020,Household Essentials,2025-04-14,69,45.0,0,12,57,0,0,44,7,SUP008
S006,P024,Household Essentials,2025-09-01,104,0.0,0,26,78,0,0,79,13,SUP008
S013,P003,Perishables,2025-02-24,81,0.0,3,61,17,0,0,129,22,SUP001
S011,P029,Personal Care,2025-06-23,134,0.0,0,21,113,0,0,56,7,SUP009
S008,P028,Personal Care,2025-09-15,229,129.0,0,28,201,0,0,75,12,SUP010
S012,P020,Household Essentials,2025-04-14,22,0.0,0,12,10,0,0,23,4,SUP008
