store_id,store_name,region,store_type,product_id,product_name,category,week_start,opening_stock,units_received,spoilage_units,units_sold,closing_stock,stockout_flag,lost_sales_units,lost_sales_value,reorder_point,safety_stock,supplier_id,avg_lead_time_days,reliability_score,unit_cost,unit_price,inventory_value,cogs,spoilage_cost
S001,North Flagship 1,North,Flagship,P025,Toothpaste 100g,Personal Care,2025-02-17,647,0.0,1,64,582,0,0,0.0,167,21,SUP009,18,0.9,381.89,560.84,222259.97999999998,24440.96,381.89
S001,North Flagship 1,North,Flagship,P008,Breakfast Cereal,Packaged Foods,2025-10-13,636,0.0,1,64,571,0,0,0.0,179,22,SUP004,21,0.85,71.87,118.18,41037.770000000004,4599.68,71.87
S014,West Standard 14,West,Standard,P014,Orange Juice 1L,Beverages,2025-09-15,141,0.0,1,28,112,0,0,0.0,71,12,SUP006,15,0.83,249.02,418.47,27890.24,6972.56,249.02
S010,East Standard 10,East,Standard,P012,Ketchup 500g,Packaged Foods,2025-02-10,230,105.0,0,18,212,0,0,0.0,54,7,SUP004,21,0.85,254.57,434.46,53968.84,4582.26,0.0
S003,North Standard 3,North,Standard,P021,Toilet Paper (6 pack),Household Essentials,2025-09-22,112,0.0,0,36,76,0,0,0.0,94,24,SUP007,6,0.89,822.15,1325.71,62483.4,29597.399999999998,0.0
S001,North Flagship 1,North,Flagship,P022,Trash Bags (30 pack),Household Essentials,2025-07-14,638,376.0,0,94,544,0,0,0.0,227,38,SUP008,13,0.97,364.5,550.03,198288.0,34263.0,0.0
S011,East Standard 11,East,Standard,P010,Frozen Peas 500g,Packaged Foods,2025-02-03,227,127.0,1,25,201,0,0,0.0,83,10,SUP004,21,0.85,562.75,881.36,113112.75,14068.75,562.75
S009,East Flagship 9,East,Flagship,P014,Orange Juice 1L,Beverages,2025-08-25,216,0.0,1,42,173,0,0,0.0,122,20,SUP006,15,0.83,249.02,418.47,43080.46,10458.84,249.02
S008,South Express 8,South,Express,P007,Instant Noodles Pack,Packaged Foods,2025-01-27,12,0.0,0,12,0,1,4,3168.84,23,6,SUP003,10,0.85,478.65,792.21,0.0,5743.799999999999,0.0
S015,West Standard 15,West,Standard,P030,Hair Oil 200ml,Personal Care,2025-12-29,160,0.0,0,43,117,0,0,0.0,83,14,SUP010,15,0.9,312.2,464.39,36527.4,13424.6,0.0
S010,East Standard 10,East,Standard,P030,Hair Oil 200ml,Personal Care,2025-06-09,262,85.0,0,29,233,0,0,0.0,82,14,SUP010,15,0.9,312.2,464.39,72742.59999999999,9053.8,0.0
S008,South Express 8,South,Express,P018,Green Tea Box,Beverages,2025-02-17,122,0.0,0,28,94,0,0,0.0,79,13,SUP006,15,0.83,203.58,352.78,19136.52,5700.240000000001,0.0
S005,South Flagship 5,South,Flagship,P018,Green Tea Box,Beverages,2025-04-21,548,316.0,2,92,454,0,0,0.0,207,34,SUP006,15,0.83,203.58,352.78,92425.32,18729.36,407.16
S007,South Standard 7,South,Standard,P016,Energy Drink Can,Beverages,2025-07-28,475,0.0,1,46,428,0,0,0.0,122,20,SUP006,15,0.83,389.91,568.72,166881.48,17935.86,389.91
S010,East Standard 10,East,Standard,P017,Instant Coffee 100g,Beverages,2025-08-04,133,0.0,1,64,68,0,0,0.0,171,21,SUP005,19,0.83,74.68,129.0,5078.240000000001,4779.52,74.68
S016,West Express 16,West,Express,P024,Paper Towels (2 pack),Household Essentials,2025-12-01,70,0.0,0,16,54,0,0,0.0,41,7,SUP008,13,0.97,942.51,1453.01,50895.54,15080.16,0.0
S016,West Express 16,West,Express,P023,All-Purpose Cleaner,Household Essentials,2025-12-29,51,0.0,0,29,22,0,0,0.0,40,10,SUP007,6,0.89,343.86,620.06,7564.92,9971.94,0.0
S003,North Standard 3,North,Standard,P010,Frozen Peas 500g,Packaged Foods,2025-03-03,287,0.0,1,30,256,0,0,0.0,91,11,SUP004,21,0.85,562.75,881.36,144064.0,16882.5,562.75
S014,West Standard 14,West,Standard,P014,Orange Juice 1L,Beverages,2025-09-29,84,0.0,0,41,43,0,0,0.0,71,12,SUP006,15,0.83,249.02,418.47,10707.86,10209.82,0.0
S003,North Standard 3,North,Standard,P020,Laundry Detergent 1kg,Household Essentials,2025-07-28,75,50.0,0,22,53,0,0,0.0,47,8,SUP008,13,0.97,395.11,674.34,20940.83,8692.42,0.0
S002,North Standard 2,North,Standard,P011,Pasta 500g,Packaged Foods,2025-09-15,102,0.0,0,47,55,0,0,0.0,76,19,SUP003,10,0.85,389.93,598.54,21446.15,18326.71,0.0
S003,North Standard 3,North,Standard,P017,Instant Coffee 100g,Beverages,2025-08-25,293,0.0,1,55,237,0,0,0.0,181,23,SUP005,19,0.83,74.68,129.0,17699.16,4107.400000000001,74.68
S012,East Express 12,East,Express,P007,Instant Noodles Pack,Packaged Foods,2025-12-15,41,0.0,0,12,29,0,0,0.0,21,5,SUP003,10,0.85,478.65,792.21,13880.849999999999,5743.799999999999,0.0
S012,East Express 12,East,Express,P020,Laundry Detergent 1kg,Household Essentials,2025-01-13,17,0.0,0,11,6,0,0,0.0,23,4,SUP008,13,0.97,395.11,674.34,2370.66,4346.21,0.0
S004,North Express 4,North,Express,P018,Green Tea Box,Beverages,2025-01-06,82,0.0,0,28,54,0,0,0.0,70,12,SUP006,15,0.83,203.58,352.78,10993.320000000002,5700.240000000001,0.0
S011,East Standard 11,East,Standard,P001,Fresh Milk 1L,Perishables,2025-04-28,143,140.0,5,48,90,0,0,0.0,100,17,SUP001,13,0.95,74.84,135.63,6735.6,3592.32,374.20000000000005
S013,West Flagship 13,West,Flagship,P002,Brown Bread,Perishables,2025-01-13,91,0.0,4,38,49,0,0,0.0,112,14,SUP002,21,0.92,168.93,291.21,8277.57,6419.34,675.72
S005,South Flagship 5,South,Flagship,P028,Shaving Cream,Personal Care,2025-12-01,170,0.0,0,71,99,0,0,0.0,196,33,SUP010,15,0.9,150.41,217.98,14890.59,10679.11,0.0
S010,East Standard 10,East,Standard,P018,Green Tea Box,Beverages,2025-07-21,138,0.0,1,58,79,0,0,0.0,134,22,SUP006,15,0.83,203.58,352.78,16082.820000000002,11807.640000000001,203.58
